funder_name,funder_openAlex_id,count,Is_Implemented
National Science Foundation,F4320306076,780,True
Science and Technology Facilities Council,F4320334632,778,True
Japan Society for the Promotion of Science,F4320334764,704,True
European Commission,F4320320300,692,True
Ministerio de Ciencia e Innovación,F4320322930,663,True
Vetenskapsrådet,F4320322581,611,False
Knut och Alice Wallenbergs Stiftelse,F4320322327,530,True
National Natural Science Foundation of China,F4320321001,454,True
Agencia Nacional de Investigación y Desarrollo,F4320331146,440,False
U.S. Department of Energy,F4320306084,413,True
Narodowa Agencja Wymiany Akademickiej,F4320328499,364,False
H2020 European Research Council,F4320338335,341,False
Agence Nationale de la Recherche,F4320320883,322,True
Deutsche Forschungsgemeinschaft,F4320320879,249,True
National Institutes of Health,F4320332161,249,True
Generalitat Valenciana,F4320321864,232,False
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,F4320320924,220,True
H2020 Marie Skłodowska-Curie Actions,F4320338337,195,True
Fundação de Amparo à Pesquisa do Estado de São Paulo,F4320320997,170,False
Agencia Estatal de Investigación,F4320335598,136,False
Norges Forskningsråd,F4320323299,136,True
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,F4320321800,125,True
European Regional Development Fund,F4320335322,120,False
Natural Sciences and Engineering Research Council of Canada,F4320334593,114,False
Narodowe Centrum Nauki,F4320322511,108,True
"Ministerio de Ciencia, Innovación y Universidades",F4320315062,107,False
Horizon 2020 Framework Programme,F4320332999,98,True
National Institute of General Medical Sciences,F4320337354,93,True
"Ministry of Education, Culture, Sports, Science and Technology",F4320320912,91,False
Division of Materials Research,F4320337367,90,True
Alexander von Humboldt-Stiftung,F4320308269,89,False
Grantová Agentura České Republiky,F4320321006,89,False
Centre National de la Recherche Scientifique,F4320322892,84,False
Institut National de Physique Nucléaire et de Physique des Particules,F4320335860,82,False
Office of Science,F4320332359,73,False
Fundação para a Ciência e a Tecnologia,F4320334779,71,False
Javna Agencija za Raziskovalno Dejavnost RS,F4320322554,68,False
