award,asset_id,doi,initial_funder_id,initial_funder_name,final_funder_name,final_funder_id,handler,change_handler
AST-1312651,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0114422,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1207704,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
11633006,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1144085,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1615796,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1265383,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
DBI-1743442,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1140030,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
DGE-1144085,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1743442,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1440254,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-0705062,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
PHY-0114422,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1248097,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1310896,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1715061,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
PLR-1248097,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0096454,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0705062,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
11573051,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1715061,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1716327,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
ACI-1548562,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
-1548562,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1548562,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0905844,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1207730,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1207730,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1207704,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1614868,9924117851801921,https://doi.org/10.3847/2041-8213/ab1141,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
