Asset Id,DOI,Title,Asset Type,Asset Published Year,wendy's note
9924285787401921,,"Klossowski on Nietzsche's Eternal Return, Heidegger on 'Ecstatic Temporality' and the Temporalization of the Preexistent Logos and Jesus's Anticipation of Death in the Gospels",Journal article,2025,n/a
9924285787701921,,Undoing Heidegger’s Reading of Hegel’s Phenomenology of Spirit in Being and Time While Exposing Derrida’s Flawed Deconstructive Critique of Heidegger’s Reading of Hegel in General,Journal article,2025,n/a
9924438365801921,,AN ANALYSIS OF MASSINISSA’S GRAIN DONATION TO HELLENISTIC DELOS,Journal article,2025,n/a
9924444645501921,,A multi-frequency study of sub-parsec jets with the Event Horizon Telescope,Journal article,2025,arxiv preprint + published 10.1051/0004-6361/202452600
9924446064301921,,Teaching the Bible in Public School: A Jewish Perspective on a Watershed Moment,Journal article,2025,n/a
9924453264701921,,"Jews, Lincoln, and the American Election of 1864",Journal article,2025,n/a
9924458786201921,,Walls' Stable Realization for Diffeomorphisms of Definite 4-manifolds,Journal article,2025,arxiv preprint
9924468965601921,,Can Supply Shocks Be Inflationary with a Flat Phillips Curve?,Journal article,2025,n/a
9924471857701921,,From the Music Director,Journal article,2025,n/a
9924480623801921,,Self-reported pathways through which illicitly manufactured fentanyl enters the stimulant supply: Novel insights from people incarcerated for drug manufacturing and distribution Self-reported pathways through which illicitly manufactured fentanyl enters the stimulant supply: Novel insights from people incarcerated for drug manufacturing and distribution,Journal article,2025,dupe (deleted)
9924488742101921,,Biological Processes as Exploratory Dynamics,Journal article,2025,dupe (deleted)
9924490976001921,,Brave Lord Willoughby,Journal article,2025,n/a
9924500935201921,,The Chilling of Data Sharing and Reuse for Clinical Therapeutics:  Lives at Risk in the Current Era,Journal article,2025,10.1016/j.clinthera.2025.08.006
9924526926901921,,Seven Short Reflections on Symmetry,Journal article,2025,dupe (deleted)
9924316279301921,,A year of milestones and US policy shifts in disability and health - A review of 2023,Journal article,2024,dupe (deleted)
9924317587101921,,Price Selection in the Microdata,Journal article,2024,dupe (deleted)
9924340280301921,,Environmental Degradation and Forced Displacement in Africa,Journal article,2024,n/a
