funder_name,count,openalex_id
National Science Foundation,606,F4320306076
National Institutes of Health,447,F4320332161
Ministerio de Economía y Competitividad,264,F4320321837
National Institute of General Medical Sciences,208,F4320337354
National Natural Science Foundation of China,200,F4320321001
U.S. Department of Energy,175,F4320306084
Division of Materials Research,124,F4320337367
H2020 European Research Council,111,F4320338335
Narodowe Centrum Nauki,109,F4320322511
National Institute on Drug Abuse,102,F4320337347
National Institute on Aging,101,F4320337337
Ministerio de Ciencia e Innovación,100,F4320322930
Japan Society for the Promotion of Science,86,F4320334764
European Research Council,85,F4320334678
National Institute of Neurological Disorders and Stroke,84,F4320337359
Agence Nationale de la Recherche,82,F4320320883
National Institute of Mental Health,77,F4320337346
Vetenskapsrådet,75,F4320322581
Deutsche Forschungsgemeinschaft,70,F4320320879
Knut och Alice Wallenbergs Stiftelse,63,F4320322327
National Aeronautics and Space Administration,58,F4320306101
National Cancer Institute,57,F4320337351
Fondo Nacional de Desarrollo Científico y Tecnológico,51,F4320338073
Air Force Office of Scientific Research,51,F4320338279
National Institute of Allergy and Infectious Diseases,44,F4320337355
Generalitat Valenciana,43,F4320321864
Simons Foundation,42,F4320306164
Division of Chemistry,41,F4320337393
Science and Technology Facilities Council,37,F4320334632
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,36,F4320320924
National Science Foundation of Sri Lanka,36,F4320335353
"National Institute on Disability, Independent Living, and Rehabilitation Research",36,F4320337604
Conselho Nacional de Desenvolvimento Científico e Tecnológico,32,F4320322025
Eunice Kennedy Shriver National Institute of Child Health and Human Development,29,F4320337611
Brandeis University,27,F4320310134
Seventh Framework Programme,26,F4320333065
Narodowa Agencja Wymiany Akademickiej,25,F4320328499
Horizon 2020 Framework Programme,23,F4320332999
Centers for Disease Control and Prevention,23,F4320332162
Leverhulme Trust,21,F4320319993
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,21,F4320321800
Bill and Melinda Gates Foundation,21,F4320306137
Howard Hughes Medical Institute,20,F4320306082
Norges Forskningsråd,18,F4320323299
Army Research Office,18,F4320338281
National Institute on Alcohol Abuse and Alcoholism,17,F4320337330
Javna Agencija za Raziskovalno Dejavnost RS,17,F4320322554
Directorate for Mathematical and Physical Sciences,16,F4320332172
Engineering and Physical Sciences Research Council,16,F4320334627
National Institute on Deafness and Other Communication Disorders,16,F4320337352
National Center for Complementary and Integrative Health,16,F4320337593
Foundation for the National Institutes of Health,15,F4320306080
Australian Research Council,15,F4320334704
National Institute of Child Health and Human Development,14,F4320337364
Basic Energy Sciences,14,F4320337480
Alfred P. Sloan Foundation,14,F4320306151
Division of Mathematical Sciences,14,F4320337380
National Research Foundation of Korea,14,F4320322120
Horizon 2020,13,F4320335254
"Division of Chemical, Bioengineering, Environmental, and Transport Systems",13,F4320337390
Federación Española de Enfermedades Raras,12,F4320321595
Royal Society,12,F4320320006
National Eye Institute,12,F4320337350
"Ministero dell’Istruzione, dell’Università e della Ricerca",12,F4320321873
Office of Naval Research,11,F4320337345
Natural Science Foundation of Jiangsu Province,11,F4320322769
Ministry of Science and Technology of the People's Republic of China,11,F4320321540
“la Caixa” Foundation,11,F4320312058
Fundação de Amparo à Pesquisa do Estado de São Paulo,10,F4320320997
Israel Science Foundation,10,F4320322252
Fundación BBVA,10,F4320309764
Patient-Centered Outcomes Research Institute,9,F4320308927
National Key Research and Development Program of China,9,F4320335777
Agency for Healthcare Research and Quality,9,F4320332177
American Chemical Society Petroleum Research Fund,9,F4320332454
"National Heart, Lung, and Blood Institute",9,F4320337338
Social Sciences and Humanities Research Council of Canada,8,F4320334617
Human Frontier Science Program,8,F4320320338
National Center for Advancing Translational Sciences,8,F4320337472
W.K. Kellogg Foundation,8,F4320310049
Bundesministerium für Bildung und Forschung,8,F4320321114
European Commission,8,F4320320300
Welch Foundation,8,F4320306196
Grantová Agentura České Republiky,8,F4320321006
Office of Science,7,F4320332359
Natural Sciences and Engineering Research Council of Canada,7,F4320334593
Alzheimer's Association,7,F4320306219
Agencia Nacional de Investigación y Desarrollo,7,F4320331146
National Institute of Justice,7,F4320337430
Univerzita Karlova v Praze,6,F4320309755
Robert Wood Johnson Foundation,6,F4320306139
NIH Office of the Director,6,F4320337349
National Center for Research Resources,6,F4320337375
Camille and Henry Dreyfus Foundation,6,F4320306315
National Institute on Minority Health and Health Disparities,6,F4320337534
Wellcome Trust,6,F4320311904
National Institute of Biomedical Imaging and Bioengineering,6,F4320337363
U.S. Department of Health and Human Services,6,F4320306085
American Heart Association,6,F4320306230
Division of Graduate Education,5,F4320337368
High Energy Physics,5,F4320337511
Science and Engineering Research Board,5,F4320334771
Defense Advanced Research Projects Agency,5,F4320332180
John Templeton Foundation,5,F4320306193
H2020 Marie Skłodowska-Curie Actions,5,F4320338337
European Southern Observatory,5,F4320322765
National Health and Medical Research Council,5,F4320334705
United States-Israel Binational Science Foundation,4,F4320320950
National Center for Injury Prevention and Control,4,F4320337417
