openAlex_id,doi,title,publication_year,funder_name,award_id
https://openalex.org/W3110547852,https://doi.org/10.1016/j.whi.2020.10.001,Preconception Health Risks Among U.S. Women: Disparities at the Intersection of Disability and Race or Ethnicity,2020,Centers for Disease Control and Prevention,R01HD090103
https://openalex.org/W3110547852,https://doi.org/10.1016/j.whi.2020.10.001,Preconception Health Risks Among U.S. Women: Disparities at the Intersection of Disability and Race or Ethnicity,2020,Centers for Disease Control and Prevention,R01HD082105
https://openalex.org/W3110547852,https://doi.org/10.1016/j.whi.2020.10.001,Preconception Health Risks Among U.S. Women: Disparities at the Intersection of Disability and Race or Ethnicity,2020,Centers for Disease Control and Prevention,R01HD074581
https://openalex.org/W3117016223,https://doi.org/10.1016/j.drugalcdep.2020.108499,Characteristics of post-overdose public health-public safety outreach in Massachusetts,2020,Centers for Disease Control and Prevention,R01CE003052
https://openalex.org/W3177568065,https://doi.org/10.1080/08897077.2021.1946893,"Understanding Opioid Overdose Risk and Response Preparedness among People who use Cocaine and other Drugs: Mixed-Methods Findings from a Large, Multi-City Study",2021,Centers for Disease Control and Prevention,P20GM125507
https://openalex.org/W3177568065,https://doi.org/10.1080/08897077.2021.1946893,"Understanding Opioid Overdose Risk and Response Preparedness among People who use Cocaine and other Drugs: Mixed-Methods Findings from a Large, Multi-City Study",2021,Centers for Disease Control and Prevention,NU17CE002724
https://openalex.org/W3197816498,https://doi.org/10.1186/s12954-021-00538-9,"Prevalence and correlates of non-fatal overdose among people who use drugs: findings from rapid assessments in Massachusetts, 2017–2019",2021,Centers for Disease Control and Prevention,NU17CE002724
https://openalex.org/W4383820459,https://doi.org/10.3390/ijerph20146324,Monkeypox-Related Stigma and Vaccine Challenges as a Barrier to HIV Pre-Exposure Prophylaxis among Black Sexual Minority Men,2023,Centers for Disease Control and Prevention,R01HL165686
https://openalex.org/W4383820459,https://doi.org/10.3390/ijerph20146324,Monkeypox-Related Stigma and Vaccine Challenges as a Barrier to HIV Pre-Exposure Prophylaxis among Black Sexual Minority Men,2023,Centers for Disease Control and Prevention,U48DP006382
https://openalex.org/W4383820459,https://doi.org/10.3390/ijerph20146324,Monkeypox-Related Stigma and Vaccine Challenges as a Barrier to HIV Pre-Exposure Prophylaxis among Black Sexual Minority Men,2023,Centers for Disease Control and Prevention,K01MD016346
https://openalex.org/W4377293079,https://doi.org/10.1186/s13011-023-00538-x,Drug use patterns and factors related to the use and discontinuation of medications for opioid use disorder in the age of fentanyl: findings from a mixed-methods study of people who use drugs,2023,Centers for Disease Control and Prevention,NU17CE002724
https://openalex.org/W4385962907,https://doi.org/10.1016/j.drugpo.2023.104160,The police paradox: A qualitative study of post-overdose outreach program implementation through public health-public safety partnerships in Massachusetts,2023,Centers for Disease Control and Prevention,R01CE003052
https://openalex.org/W4386707451,https://doi.org/10.1016/j.drugpo.2023.104164,Characteristics of post-overdose outreach programs and municipal-level opioid overdose in Massachusetts,2023,Centers for Disease Control and Prevention,R01CE003052
https://openalex.org/W4401898165,https://doi.org/10.1186/s12889-024-19779-x,Preventing overdoses involving stimulants: the POINTS study protocol,2024,Centers for Disease Control and Prevention,P20GM125507
https://openalex.org/W4401898165,https://doi.org/10.1186/s12889-024-19779-x,Preventing overdoses involving stimulants: the POINTS study protocol,2024,Centers for Disease Control and Prevention,5R01CE003353
https://openalex.org/W4401739613,https://doi.org/10.1016/j.drugalcdep.2024.112391,Views and experiences of involuntary civil commitment of people who use drugs in Massachusetts (Section 35),2024,Centers for Disease Control and Prevention,NU17CE002724
https://openalex.org/W4393050586,https://doi.org/10.1177/29767342241236027,Association of Disability Status and Type With Binge Drinking and Prescription Opioid Misuse Among Adults From a 3-State Sample,2024,Centers for Disease Control and Prevention,NU17CE924989
https://openalex.org/W4380987816,https://doi.org/10.1016/j.dadr.2023.100176,Trends and correlates of abscess history among people who inject drugs in Massachusetts: A mixed methods exploration of experiences amidst a rapidly evolving drug supply,2023,Centers for Disease Control and Prevention,NU17CE002724
https://openalex.org/W3207747479,https://doi.org/10.2174/1874613602115010063,The Tale of Two Epidemics: HIV/AIDS in Ghana and Namibia,2021,Centers for Disease Control and Prevention,GH00153
https://openalex.org/W4394808220,https://doi.org/10.1016/j.drugalcdep.2024.111293,"LatinX harm reduction capital, medication for opioid use disorder, and nonfatal overdose: A structural equation model analysis among people who use drugs in Massachusetts",2024,Centers for Disease Control and Prevention,NU17CE002724
https://openalex.org/W4404127786,https://doi.org/10.1007/s10461-024-04540-7,Rapid Assessment Amid an Injection Drug Use-Driven HIV Outbreak in Massachusetts’ Merrimack Valley: Highlights from a Case Study,2024,Centers for Disease Control and Prevention,NU17CE002724; NU17CE002724
https://openalex.org/W4404127786,https://doi.org/10.1007/s10461-024-04540-7,Rapid Assessment Amid an Injection Drug Use-Driven HIV Outbreak in Massachusetts’ Merrimack Valley: Highlights from a Case Study,2024,Centers for Disease Control and Prevention,NU17CE002724
https://openalex.org/W4404530331,https://doi.org/10.1016/j.drugalcdep.2024.112501,Characterizing and responding to stimulant overdoses: Findings from a mixed methods study of people who use cocaine and other stimulants in New England,2024,Centers for Disease Control and Prevention,P20GM125507
https://openalex.org/W4404530331,https://doi.org/10.1016/j.drugalcdep.2024.112501,Characterizing and responding to stimulant overdoses: Findings from a mixed methods study of people who use cocaine and other stimulants in New England,2024,Centers for Disease Control and Prevention,5R01CE003353
https://openalex.org/W4392958999,https://doi.org/10.1186/s12954-024-00975-2,“Wanna cry this out real quick?”: an examination of secondary traumatic stress risk and resilience among post-overdose outreach staff in Massachusetts,2024,Centers for Disease Control and Prevention,1K23DA044324-01
https://openalex.org/W4392958999,https://doi.org/10.1186/s12954-024-00975-2,“Wanna cry this out real quick?”: an examination of secondary traumatic stress risk and resilience among post-overdose outreach staff in Massachusetts,2024,Centers for Disease Control and Prevention,R01CE003052
https://openalex.org/W2902412852,https://doi.org/10.1111/jep.13083,Effect of periodic health exam on provider management of preventive services,2018,Centers for Disease Control and Prevention,1R36DP001893‐01
