Asset Id,DOI,Title,Asset Type,Asset Published Year,wendy's note
9924285787401921,,"Klossowski on Nietzsche's Eternal Return, Heidegger on 'Ecstatic Temporality' and the Temporalization of the Preexistent Logos and Jesus's Anticipation of Death in the Gospels",Journal article,2025,
9924285787701921,,Undoing Heidegger’s Reading of Hegel’s Phenomenology of Spirit in Being and Time While Exposing Derrida’s Flawed Deconstructive Critique of Heidegger’s Reading of Hegel in General,Journal article,2025,
9924438365801921,,AN ANALYSIS OF MASSINISSA’S GRAIN DONATION TO HELLENISTIC DELOS,Journal article,2025,
9924444645501921,10.48550/arxiv.2501.05518,A multi-frequency study of sub-parsec jets with the Event Horizon Telescope,Journal article,2025,arxiv preprint + published 10.1051/0004-6361/202452600
9924446064301921,,Teaching the Bible in Public School: A Jewish Perspective on a Watershed Moment,Journal article,2025,
9924453264701921,,"Jews, Lincoln, and the American Election of 1864",Journal article,2025,
9924458786201921,,Walls' Stable Realization for Diffeomorphisms of Definite 4-manifolds,Journal article,2025,arxiv preprint
9924468965601921,10.26509/frbc-wp-202336,Can Supply Shocks Be Inflationary with a Flat Phillips Curve?,Journal article,2025,
9924471857701921,10.1386/ijcm.2.2-3.227_1,From the Music Director,Journal article,2025,
9924480623801921,10.1016/j.ssmqr.2025.100568,Self-reported pathways through which illicitly manufactured fentanyl enters the stimulant supply: Novel insights from people incarcerated for drug manufacturing and distribution Self-reported pathways through which illicitly manufactured fentanyl enters the stimulant supply: Novel insights from people incarcerated for drug manufacturing and distribution,Journal article,2025,dupe (deleted)
9924488742101921,10.1016/j.bpj.2025.09.009,Biological Processes as Exploratory Dynamics,Journal article,2025,dupe (deleted)
9924490976001921,10.1017/cbo9781139878678.035,Brave Lord Willoughby,Journal article,2025,
9924500935201921,,The Chilling of Data Sharing and Reuse for Clinical Therapeutics:  Lives at Risk in the Current Era,Journal article,2025,10.1016/j.clinthera.2025.08.006
9924526926901921,10.1525/abt.2025.87.6.364,Seven Short Reflections on Symmetry,Journal article,2025,dupe (deleted)
9924316279301921,10.1016/j.dhjo.2023.101555,A year of milestones and US policy shifts in disability and health - A review of 2023,Journal article,2024,dupe (deleted)
9924317587101921,10.1086/730220,Price Selection in the Microdata,Journal article,2024,dupe (deleted)
9924340280301921,,Environmental Degradation and Forced Displacement in Africa,Journal article,2024,
9924342786201921,,Mozart’s Jewish Librettist: A Brief History of a Poorly Kept Secret,Journal article,2024,
9924344187101921,,Building Cross-Cultural Relationships in a Global Workplace,Journal article,2024,magazine article
9924344486701921,10.48550/arxiv.2304.10426,Binomial Convolutions for Rational Power Series,Journal article,2024,
9924346713301921,,You Can Never Read Too Much About Shakespeare,Journal article,2024,review about targoff's book (deleted)
9924346713501921,,"Mother, may I?",Journal article,2024,
9924357587501921,,Leveraging an Innovation Model to Facilitate ICD-11 Implementation,Journal article,2024,n/a (has PMCID: PMC11102059  PMID: 40135699)
9924368787601921,,NEKRASOV'S FRAME LYRIC AS SOCIAL POETICS: STOPPING IN THE VILLAGE ON THE ROAD TO POETOPIA,Journal article,2024,
9924373087501921,,Modeling the development of intuitive mechanics,Journal article,2024,conference proceedings
9924377086401921,,Women Wrote: Glikl in Context,Journal article,2024,
9924379873701921,,Cooper Twofer,Journal article,2024,
9924385081901921,,"Protecting, Learning, and Connecting: A Portrait de una familia bilingüe en lenguaje dual—Flor, Samuel, y Melanie",Journal article,2024,
9924398887601921,,Phenolic syringyl end groups in 13 C-enriched hardwoods detected and quantified by solid-state NMR,Journal article,2024,10.1016/j.ssnmr.2024.101947
9924402354701921,,Louis Lusky: Defense Attorney for Democracy,Journal article,2024,
9924414886901921,,WHO'S AFRAID OF A COMUNISTA?,Journal article,2024,
9924415687601921,10.1016/j.worlddev.2024.106608,State-owned enterprises as countercyclical instruments : quasi-experimental evidence from the infrastructure sector,Journal article,2024,dupe (deleted)
9924415775401921,10.1016/j.jmoneco.2024.103568,Indirect consumer inflation expectations : theory and evidence,Journal article,2024,10.1016/j.jmoneco.2024.103568
9924416237501921,,"The living Torah as life of action: a jurisprudential approach to the early thought of ""Ha-Po'el Ha-Mizrahi""",Journal article,2024,"working paper, published 10.1016/j.jmoneco.2024.103568"
9924416237701921,,"Wicked Hanan (""Hanan bisha"") meets the American ""bad man"": literary and legal perspectives on the addressee of financial penalties",Journal article,2024,
9924417883601921,10.1051/0004-6361/202450497,Broadband Multi-wavelength Properties of M87 during the 2018 EHT Campaign including a Very High Energy Flaring Episode,Journal article,2024,
9924423425001921,,From external focus to internal reflection: enhancing intra-government collaborative governance in Africa,Journal article,2024,
9924423428201921,10.1016/j.dhjo.2024.101765,Intersectional inequities in maternal mortality: Examining the compounded risks for black birthing individuals with physical disabilities,Journal article,2024,
9924424396501921,,A Tale of Two Tarīqas: The Iraqi and Khurasani Shāfiʿī Communities in the Fourth/Tenth and Fifth/Eleventh Centuries,Journal article,2024,
9924425396701921,10.1371/journal.pntd.0011835,Cost-effectiveness of vector control for supplementing mass drug administration for eliminating lymphatic filariasis in India,Journal article,2024,
9924425680001921,10.37765/ajmc.2024.89653,Mandatory Medicare bundled payment and the future of hospital reimbursement,Journal article,2024,
9924426647801921,10.1177/17470218241301415,Individual control of input rate improves recall of spoken discourse by adult users of cochlear implants: An exploratory study,Journal article,2024,
9924426682101921,10.1073/pnas.2410345121,Asymmetric fluctuations and self-folding of active interfaces,Journal article,2024,
9924427116401921,10.1007/s10461-024-04567-w,Correction: Rapid Assessment Amid an Injection Drug Use-Driven HIV Outbreak in Massachusetts' Merrimack Valley: Highlights from a Case Study,Journal article,2024,
9924427780001921,10.1073/pnas.2417323121,Biofilm formation by Staphylococcus aureus is triggered by a drop in the levels of a cyclic dinucleotide,Journal article,2024,
9924427882301921,,"Ecos órficos y afrobrasileños en Réquiem por Yarini, de Carlos Felipe",Journal article,2024,
9924430682101921,,"从思想史看“大分流”: 兼论现代性研究中的范式突破与再理论化 (Rethinking the ""Great Divergence” Thesis Through Intellectual History: New Paradigms and Theories in the Study of Modernity)",Journal article,2024,
9924432713301921,,Rereading the Story of the Oven of Akhnai: From Interpretive Rights to Interpretive Responsibilities,Journal article,2024,
9924441065601921,,The Micro-Site Simulation Project: Developing Accessible and Inclusive Lab-Based Archaeological Pedagogies,Journal article,2024,
9924445965401921,,"Las tareas del paisaje cultural minero en Marmato, Caldas",Journal article,2024,
9924446065301921,,How to Make Small Talk with Anyone from Anywhere,Journal article,2024,
9924446165701921,,La Politique sonore chez Guillaume Cretin,Journal article,2024,
9924453265001921,,"""Certainty Has Never Been Mine"": The Denominational Eclecticism of David Ellenson",Journal article,2024,
9924453563701921,,The Living Torah as Life of Action: A Jurisprudential Approach to the Early Thought of Ha-Po’el Ha-Mizraḥi,Journal article,2024,
9924455064801921,10.18653/v1/d15-1221,Ghostwriter,Journal article,2024,
9924456463201921,,Special Section:  Roundtable on Kathryn Beliveau Feuer's Tolstoy and the Genesis of War and Peace: Essays,Journal article,2024,
9924457365001921,,《“艺术终结”的未终结——多事之秋的美国当代艺术》,Journal article,2024,
9924457365101921,,《东欧“印痕”和困境的联动》,Journal article,2024,
9924457453201921,10.48550/arxiv.2311.17134,GlycoNMR: Dataset and benchmarks for NMR chemical shift prediction of carbohydrates with graph neural networks,Journal article,2024,
9924457453701921,,Fashionably Ethical Indigeneity: Ethical and Sustainable Fashion in Peru,Journal article,2024,
9924457464301921,,"Arabs, Turks, Iranians: Prospects for Cooperation and Prevention of Conflict",Journal article,2024,
9924457759601921,,Metrical Properties of Functions of Consecutive Digits in Lüroth Series,Journal article,2024,
9924457761301921,,"""קולות מחונקות"": על 'שגגה' מאת רבקה אלפר: 'Suffocated Voices': An Essay about Rivka Alper's Unpublished Story “Mistake”",Journal article,2024,
9924466557401921,10.5860/choice.36-6136,Reading Lessons,Journal article,2024,
9924505135801921,,A new Phoenician ostrakon from Dor and an assessment of writing in the ancient city,Journal article,2024,
9924187787401921,10.1016/j.dhjo.2022.101409,DHJO looks to the future,Journal article,2023,
9924202787501921,10.1016/j.bpj.2022.11.2655,Modeling heterochromatin dynamics in S. pombe across diverse timescales,Journal article,2023,
9924202787701921,10.1016/j.bpj.2022.11.318,Identifying the role of the FACT histone chaperone in epigenetics through single-molecule fluorescence imaging,Journal article,2023,
9924204479301921,,Of Scrolls and Tears: Trinh Mai's Archival Art and Organic Ephemera,Journal article,2023,
9924206058701921,10.35542/osf.io/9qnfp,A Case for Increased Rigor in AAC Research: A Methodological Quality Review,Journal article,2023,
9924206186501921,,Rocks and Kindness,Journal article,2023,
9924206186601921,10.1093/alh/ajac237,The Multispecies We: Democracy and Pronouns in the Environmental Novel,Journal article,2023,
9924209283901921,,"Maternar: Familiaridades extrañas en Los niños de Carolina Sanín, La hija única de Guadalupe Nettel, La perra de Pilar Quintana, y Mugre Rosa de Fernanda Trías",Journal article,2023,
9924209817401921,,MODALITIES OF SOCIAL CHANGE LAWYERING,Journal article,2023,
9924210150601921,,Climate Peacebuilding: A Reset for Major Power Relations?,Journal article,2023,
9924210150901921,10.1093/ml/gcac077,The Indicative Mood: A Response to Margaret Bent,Journal article,2023,
9924210440001921,10.1353/wmq.2023.0011,Strategies of Succession and the 1797 Treaty of Big Tree,Journal article,2023,
9924211183201921,,Iambs and Isotopes,Journal article,2023,
9924214566101921,10.1017/s0009838819000375,Acrostics,Journal article,2023,
9924215386301921,10.1037/amp0001016,Addressing health inequities for children in immigrant families: Psychologists as leaders and links across systems,Journal article,2023,
9924215486301921,10.64628/aai.etkqsctek,What’s a ‘gig’ job? How it’s legally defined affects workers’ rights and protections,Journal article,2023,
9924215787301921,10.1016/j.dhjo.2023.101450,The evolution of disability and health research and practice,Journal article,2023,
9924215861701921,10.2139/ssrn.4338209,Stabilising financial markets: lending and market making as a last resort,Journal article,2023,
9924217092001921,,DMKPs provide a generalizable strategy for studying genes required for reproduction or viability in non-traditional model organisms,Journal article,2023,
9924234456701921,,Climate Change as a Civic Challenge: Collaborative Models for American Policy and Practice,Journal article,2023,
9924263986801921,10.1103/physrevlett.130.221601,Accelerating Cosmology from a Holographic Wormhole,Journal article,2023,
9924270485901921,10.1016/j.bbapap.2023.140931,The Fe and Zn cofactor dilemma,Journal article,2023,
9924275480801921,10.1016/j.jfs.2022.101087,Addressing spillovers from prolonged U.S. monetary policy easing,Journal article,2023,
9924275582401921,10.21773/boun.37.1.2,The Effects of The Post-2013 Socio-Political Turmoil on International Tourism Demand in Emerging Economies: An Oaxaca-Blinder Decomposition Approach,Journal article,2023,
9924275713101921,,The New Rules of GLOBALIZATION: Should the board keep the nation's best interests in mind when considering a company's long-term success?,Journal article,2023,
9924277444501921,,"Tel 'Afar (Tell al-Akhdar): a monastic or estate church on the Via Maris south of Caesarea / Ofra Barkai, Alexandra Ratzlaff, Itamar Taxel",Journal article,2023,
9924277450201921,10.1371/journal.pclm.0000241,Climate Obstruction in the Global South: Future Research Trajectories,Journal article,2023,
9924277586601921,10.1016/j.drugalcdep.2022.109699,A review of factors associated with methadone maintenance treatment adherence and retention in Vietnam,Journal article,2023,
9924278813101921,10.1103/physrevlett.131.041002,First Dark Matter Search Results from the LUX-ZEPLIN (LZ) Experiment,Journal article,2023,
9924278862901921,10.1093/pnasnexus/pgad130,Spatio-temporal patterning of extensile active stresses in microtubule-based active fluids,Journal article,2023,
9924279987301921,10.5840/symposion202310214,Magnifying Lacan’s “Mirror Image” (1949) to Develop the Undeveloped Notion of ‘Being-Towards-Birth’ in Heidegger’s Being and Time (1927),Journal article,2023,
9924284387701921,,The Judaism Inside Being and Time that Heidegger Could not See: On the Secret of Heidegger's anti-Semitism,Journal article,2023,
9924291985501921,10.33423/jlae.v20i3.6426,Transcending False Nonprofit Governance Dilemmas,Journal article,2023,
9924291987601921,,Experiences of Parents with Psychiatric Disabilities who have Child Welfare Involvement: Perspectives from Parents and Staff Providing Legal Services,Journal article,2023,
9924304475601921,10.1177/0032258x231211478,A Thematic Analysis of the Effectiveness of The Assisting Rehabilitation through Collaboration (ARC) Programme,Journal article,2023,
9924312087701921,,"הפרופסורית מארה""ב שאלה, והמורים בישראל ענו:  מחקר חדש על הוראה בימי מלחמה",Journal article,2023,
9924314517401921,10.37765/ajac.2023.89475,The Impact of Nurse Practitioner Attribution in Medicare Shared Savings ACOs,Journal article,2023,
9924316183101921,,"Insulin and circadian rhythm genes of the Nile rat (Arvicanthis niloticus) are conserved and orthologous to those in the rat, mouse and human",Journal article,2023,
9924316586101921,10.1080/02684527.2023.2291868,The Art of double-cross: writers in strategic deception during World War Two,Journal article,2023,
9924316686901921,,Big News: Climate Change and the Business Cycle,Journal article,2023,
9924316878901921,10.1021/acs.biochem.2c00233,Hydroxylation Regiochemistry Is Robust to Active Site Mutations in Cytochrome P450,Journal article,2023,
9924317083901921,,Financial Sustainability of Novel Delivery Models in Behavioral Health Treatment,Journal article,2023,
9924318286101921,,The world was not enough: A Jewish intellectual who fused the secular with the sacred,Journal article,2023,
9924325886101921,,Getting Jiggy,Journal article,2023,
9924330974701921,10.48550/arxiv.2202.11212,Metrical properties for the weighted products of multiple partial quotients in continued fractions,Journal article,2023,
9924330987301921,10.14324/111.444.jhs.2024v55.13,Response to Shirli Gilbert,Journal article,2023,
