openAlex_id,doi,title,publication_year,funder_name,award_id
https://openalex.org/W3148946940,https://doi.org/10.1039/d1ta01007g,Sunlight-activated phase change materials for controlled heat storage and triggered release,2021,Brandeis University,SPROUT 2019-042
https://openalex.org/W3148946940,https://doi.org/10.1039/d1ta01007g,Sunlight-activated phase change materials for controlled heat storage and triggered release,2021,Brandeis University,Provost Research Award
https://openalex.org/W3016739757,https://doi.org/10.1080/01634372.2020.1752872,Parenting a 6-Year Old Is Not What I Planned in Retirement: Trauma and Stress among Grandparents Due to the Opioid Crisis,2020,Brandeis University,Provost Award
https://openalex.org/W3202586065,https://doi.org/10.1111/jsr.13495,Age and chronotype influenced sleep timing changes during the first wave of the COVID‐19 pandemic,2021,Brandeis University,NIH NRSA T32 NS007292
https://openalex.org/W4361204689,https://doi.org/10.1371/journal.pone.0282786,"Impact of COVID-19 on healthcare utilization, cases, and deaths of citizens and displaced Venezuelans in Colombia: Complementary comprehensive and safety-net systems under Colombia’s constitutional commitment",2023,Brandeis University,Sub‐award 2(PG006778‐01)
https://openalex.org/W3206726736,https://doi.org/10.3390/rs13204109,"Airborne Lidar Survey, Density-Based Clustering, and Ancient Maya Settlement in the Upper Usumacinta River Region of Mexico and Guatemala",2021,Brandeis University,n/a
https://openalex.org/W3203144398,https://doi.org/10.1016/j.amepre.2021.05.041,Severe Maternal Morbidity and Maternal Mortality in Women With Intellectual and Developmental Disabilities,2021,Brandeis University,15013
https://openalex.org/W2945011320,https://doi.org/10.1016/j.outlook.2019.05.005,Comparing the rates of low-value back images ordered by physicians and nurse practitioners for Medicare beneficiaries in primary care,2019,Brandeis University,5T32 HS6224
https://openalex.org/W4319061359,https://doi.org/10.1016/j.jinorgbio.2023.112129,Conformational heterogeneity suggests multiple substrate binding modes in CYP106A2,2023,Brandeis University,R01-GM130997
https://openalex.org/W2936608191,https://doi.org/10.1177/0092055x19841667,Integrating Community-based Research into a Senior Capstone Seminar: Lessons Learned from a Mixed-methods Study,2019,Brandeis University,Provost’s Teaching Innovation Grant
https://openalex.org/W2972105824,https://doi.org/10.1039/c9sm01344j,Morphology formation in binary mixtures upon gradual destabilisation,2019,Brandeis University,DMR-1420382
https://openalex.org/W4404507166,https://doi.org/10.1007/s11109-024-09974-2,Winning At All Costs? How Negative Partisanship Affects Voter Decision-Making,2024,Brandeis University,"NA, Theodore and Jane Norman Fund"
https://openalex.org/W4405429750,https://doi.org/10.1073/pnas.2417323121,Biofilm formation by <i>Staphylococcus aureus</i> is triggered by a drop in the levels of a cyclic dinucleotide,2024,Brandeis University,startup funds
https://openalex.org/W2953677287,https://doi.org/10.3390/nu11071538,Genetic Permissiveness and Dietary Glycemic Load Interact to Predict Type-II Diabetes in the Nile rat (Arvicanthis niloticus),2019,Brandeis University,internal funds Brandeis #49820
https://openalex.org/W2963675572,https://doi.org/10.1177/1087054720925900,Dependent Stress Mediates the Relation Between ADHD Symptoms and Depression,2020,Brandeis University,Support from Brandeis University
https://openalex.org/W4403540609,https://doi.org/10.7554/elife.93981.3,Intrinsic dynamics of randomly clustered networks generate place fields and preplay of novel environments,2024,Brandeis University,Neuroscience Graduate Program
